Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0603_1608Metric",194.818000,-87.122000,90.000000,top
"C2","0.1u","C_0402_1005Metric",199.898000,-97.536000,0.000000,top
"C3","0.1u","C_0402_1005Metric",187.833000,-97.409000,180.000000,top
"C4","2.2u","C_0603_1608Metric",176.530000,-99.060000,90.000000,top
"C5","0.1u","C_0402_1005Metric",187.833000,-98.679000,180.000000,top
"C6","0.1u","C_0402_1005Metric",192.659000,-87.122000,90.000000,top
"C7","0.1u","C_0402_1005Metric",191.262000,-87.122000,90.000000,top
"C8","0.1u","C_0402_1005Metric",202.946000,-99.568000,-90.000000,top
"C9","15p","C_0402_1005Metric",201.930000,-96.774000,90.000000,top
"C10","15p","C_0402_1005Metric",201.930000,-90.043000,180.000000,top
"C15","4.7u","C_0603_1608Metric",191.262000,-119.380000,-90.000000,top
"C16","10u","C_0603_1608Metric",206.502000,-114.300000,0.000000,top
"C17","4.7u","C_0603_1608Metric",183.642000,-119.380000,-90.000000,top
"C18","10n","C_0603_1608Metric",199.390000,-115.062000,90.000000,top
"C20","10u","C_0603_1608Metric",194.564000,-114.808000,-90.000000,top
"C22","1u","C_0402_1005Metric",203.454000,-121.666000,180.000000,top
"C23","0.1u","C_0402_1005Metric",202.946000,-107.442000,-90.000000,top
"C24","0.1u","C_0402_1005Metric",205.232000,-107.442000,-90.000000,top
"C25","0.1u","C_0402_1005Metric",199.390000,-105.918000,0.000000,top
"C26","4.7u","C_0603_1608Metric",200.152000,-107.696000,0.000000,top
"C27","4.7u","C_0603_1608Metric",188.722000,-114.446000,90.000000,top
"C28","4.7u","C_0603_1608Metric",181.356000,-114.446000,-90.000000,top
"D1","D_Schottky","D_SOD-123",178.816000,-98.044000,90.000000,top
"D2","LED","LED_0603_1608Metric",197.993000,-87.630000,90.000000,top
"D3","LED","LED_0603_1608Metric",199.644000,-88.011000,90.000000,top
"D4","D_Schottky","D_SOD-123",197.104000,-117.602000,-90.000000,top
"D5","D_Schottky","D_SOD-123",193.040000,-111.252000,0.000000,top
"D6","D_Zener","D_SOD-123",195.834000,-123.190000,180.000000,top
"D7","SP0502BAHT","SOT-23",207.010000,-101.600000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118193-0001LF_Horizontal",175.768000,-105.664000,-90.000000,top
"J3","Conn_01x04","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",210.910000,-108.664000,90.000000,top
"L1","L","L_1210_3225Metric",198.120000,-111.252000,180.000000,top
"Q1","IRLML6401","SOT-23",206.502000,-110.744000,0.000000,top
"R1","560","R_0402_1005Metric",181.610000,-108.966000,180.000000,top
"R2","1K","R_0402_1005Metric",207.645000,-96.012000,180.000000,top
"R3","100k","R_0402_1005Metric",201.676000,-99.568000,-90.000000,top
"R4","22","R_0402_1005Metric",186.690000,-102.108000,90.000000,top
"R5","22","R_0402_1005Metric",185.420000,-102.108000,90.000000,top
"R6","1K","R_0402_1005Metric",199.263000,-93.980000,0.000000,top
"R7","4.7k","R_0402_1005Metric",188.087000,-88.390000,90.000000,top
"R8","330","R_0402_1005Metric",196.342000,-86.995000,-90.000000,top
"R9","330","R_0402_1005Metric",201.295000,-88.265000,-90.000000,top
"R10","5k","R_0402_1005Metric",183.134000,-113.176000,-90.000000,top
"R11","1k","R_0402_1005Metric",183.134000,-115.462000,-90.000000,top
"R12","49.9k","R_0402_1005Metric",202.692000,-118.110000,90.000000,top
"R13","9.53k","R_0402_1005Metric",204.216000,-118.110000,90.000000,top
"R14","4.09k","R_0402_1005Metric",185.420000,-118.364000,-90.000000,top
"R15","1k","R_0402_1005Metric",185.420000,-120.650000,-90.000000,top
"R16","100k","R_0402_1005Metric",206.248000,-118.110000,-90.000000,top
"R17","10k","R_0402_1005Metric",196.215000,-121.285000,180.000000,top
"R18","120","R_0402_1005Metric",207.264000,-105.410000,-90.000000,top
"R19","10K","R_0402_1005Metric",189.484000,-106.807000,0.000000,top
"R20","10K","R_0402_1005Metric",189.484000,-104.775000,0.000000,top
"R21","2.2k","R_0402_1005Metric",197.612000,-99.822000,180.000000,top
"R22","10K","R_0402_1005Metric",197.612000,-102.362000,180.000000,top
"R23","2.2k","R_0402_1005Metric",197.612000,-101.092000,180.000000,top
"U1","USBLC6-2SC6","SOT-23-6",182.880000,-105.664000,0.000000,top
"U2","STM32G431CBUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",193.548000,-93.726000,180.000000,top
"U3","TLV75801PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",185.674000,-114.446000,0.000000,top
"U4","AOZ1280CI","SOT-23-6",202.438000,-113.284000,90.000000,top
"U5","TLV75801PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",188.214000,-119.380000,0.000000,top
"U6","TCAN1044A-Q1","VSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm",202.692000,-103.124000,0.000000,top
"U7","VL53L3CXV0DH/1","LGA12_STM",194.056000,-105.664000,-90.000000,top
"U8","TCA9509DGKR","DGK8",192.024000,-101.600000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",202.311000,-93.218000,-90.000000,top
