Designator,Mid X,Mid Y,Rotation,Layer
C1,200.279,-92.964,0,top
C2,200.668,-98.254,0,top
C3,199.771,-94.488,0,top
C4,181.356,-104.124,180,top
C8,203.716,-100.286,-90,top
C9,203.8604,-97.5868,90,top
C10,203.6572,-90.932,180,top
C15,196.35,-116.942,-90,top
C16,211.082,-111.97,-90,top
C17,188.984,-116.942,-90,top
C18,204.732,-114.256,90,top
C20,200.16,-115.78,-90,top
C22,182.126,-115.526,0,top
C23,202.446,-106.636,0,top
C24,204.732,-106.636,180,top
C25,196.858,-106.89,0,top
C26,197.366,-105.366,0,top
C27,196.35,-112.078,90,top
C28,188.984,-112.078,-90,top
D1,182.245,-101.838,180,top
D2,210.1595,-93.345,0,top
D3,210.1595,-91.567,0,top
D4,202.446,-115.018,-90,top
D5,199.144,-111.462,90,top
D6,183.396,-117.558,180,top
D7,207.78,-102.318,90,top
D8,176.788,-113.874,0,top
D9,176.788,-109.81,0,top
J3,212.55,-103,90,top
J4,172,-107,-90,top
J5,174,-98,-90,top
L1,202.954,-110.446,180,top
Q1,211.59,-108.414,0,top
R2,206.002,-99.016,180,top
R3,202.446,-100.286,-90,top
R4,185.039,-97.901,0,top
R5,185.039,-99.298,0,top
R6,199.771,-96.012,0,top
R7,199.771,-90.932,0,top
R8,212.9535,-93.345,0,top
R9,212.9535,-91.567,0,top
R10,190.762,-110.808,-90,top
R11,190.762,-113.094,-90,top
R12,207.78,-115.78,90,top
R13,206.51,-115.78,-90,top
R14,190.762,-115.926,-90,top
R15,190.762,-118.212,-90,top
R16,184.666,-114.256,0,top
R17,184.666,-115.526,180,top
R18,208.9404,-97.8408,-90,top
R19,187.706,-106.045,0,top
R20,187.714,-104.731,0,top
R21,195.842,-99.778,180,top
R22,195.842,-102.318,180,top
R23,195.842,-101.048,180,top
U1,181.483,-98.663,0,top
U3,193.302,-112.078,0,top
U4,207.78,-111.97,90,top
U5,193.302,-116.942,0,top
U6,203.462,-103.842,0,top
U7,192,-105,-90,top
U8,190.23,-100.956,0,top
U9,194.7348,-94.742,180,top
Y1,204,-94,-90,top
,,,,top
