### Footprint positions - created on 2025-10-18T12:27:58-0500 ###
### Printed by KiCad version 9.0.5-9.0.5~ubuntu24.04.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val               Package                                       PosX       PosY       Rot  Side
C1        4.7u              C_0603_1608Metric                         200.2790   -92.9640    0.0000  top
C2        0.1u              C_0402_1005Metric                         200.6680   -98.2540    0.0000  top
C3        0.1u              C_0402_1005Metric                         199.7710   -94.4880    0.0000  top
C4        2.2u              C_0603_1608Metric                         181.3560  -104.1240  180.0000  top
C8        0.1u              C_0402_1005Metric                         203.7160  -100.2860  -90.0000  top
C9        15p               C_0402_1005Metric                         203.8604   -97.5868   90.0000  top
C10       15p               C_0402_1005Metric                         203.6572   -90.9320  180.0000  top
C15       4.7u              C_0603_1608Metric                         196.3500  -116.9420  -90.0000  top
C16       10u               C_0603_1608Metric                         211.0820  -111.9700  -90.0000  top
C17       4.7u              C_0603_1608Metric                         188.9840  -116.9420  -90.0000  top
C18       10n               C_0603_1608Metric                         204.7320  -114.2560   90.0000  top
C20       10u               C_0603_1608Metric                         200.1600  -115.7800  -90.0000  top
C22       1u                C_0402_1005Metric                         182.1260  -115.5260    0.0000  top
C23       0.1u              C_0402_1005Metric                         202.4460  -106.6360    0.0000  top
C24       0.1u              C_0402_1005Metric                         204.7320  -106.6360  180.0000  top
C25       0.1u              C_0402_1005Metric                         196.8580  -106.8900    0.0000  top
C26       4.7u              C_0603_1608Metric                         197.3660  -105.3660    0.0000  top
C27       4.7u              C_0603_1608Metric                         196.3500  -112.0780   90.0000  top
C28       4.7u              C_0603_1608Metric                         188.9840  -112.0780  -90.0000  top
D1        D_Schottky        D_SOD-123                                 182.2450  -101.8380  180.0000  top
D2        LED               LED_0603_1608Metric                       210.1595   -93.3450    0.0000  top
D3        LED               LED_0603_1608Metric                       210.1595   -91.5670    0.0000  top
D4        D_Schottky        D_SOD-123                                 202.4460  -115.0180  -90.0000  top
D5        D_Schottky        D_SOD-123                                 199.1440  -111.4620   90.0000  top
D6        D_Zener           D_SOD-123                                 183.3960  -117.5580  180.0000  top
D7        SP0502BAHT        SOT-23                                    207.7800  -102.3180   90.0000  top
D8        SP0502BAHT        SOT-23                                    176.7880  -113.8740    0.0000  top
D9        SP0502BAHT        SOT-23                                    176.7880  -109.8100    0.0000  top
J3        Conn_01x04        JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal   212.5500  -103.0000   90.0000  top
J4        Conn_01x06        JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal   172.0000  -107.0000  -90.0000  top
J5        USB_C_Receptacle  CONN_105450-0101_MOL                      174.0000   -98.0000  -90.0000  top
L1        L                 L_1210_3225Metric                         202.9540  -110.4460  180.0000  top
Q1        IRLML6401         SOT-23                                    211.5900  -108.4140    0.0000  top
R2        1K                R_0402_1005Metric                         206.0020   -99.0160  180.0000  top
R3        100k              R_0402_1005Metric                         202.4460  -100.2860  -90.0000  top
R4        22                R_0402_1005Metric                         185.0390   -97.9010    0.0000  top
R5        22                R_0402_1005Metric                         185.0390   -99.2980    0.0000  top
R6        1K                R_0402_1005Metric                         199.7710   -96.0120    0.0000  top
R7        4.7k              R_0402_1005Metric                         199.7710   -90.9320    0.0000  top
R8        330               R_0402_1005Metric                         212.9535   -93.3450    0.0000  top
R9        330               R_0402_1005Metric                         212.9535   -91.5670    0.0000  top
R10       5k                R_0402_1005Metric                         190.7620  -110.8080  -90.0000  top
R11       1k                R_0402_1005Metric                         190.7620  -113.0940  -90.0000  top
R12       49.9k             R_0402_1005Metric                         207.7800  -115.7800   90.0000  top
R13       9.53k             R_0402_1005Metric                         206.5100  -115.7800  -90.0000  top
R14       4.09k             R_0402_1005Metric                         190.7620  -115.9260  -90.0000  top
R15       1k                R_0402_1005Metric                         190.7620  -118.2120  -90.0000  top
R16       100k              R_0402_1005Metric                         184.6660  -114.2560    0.0000  top
R17       10k               R_0402_1005Metric                         184.6660  -115.5260  180.0000  top
R18       120               R_0402_1005Metric                         208.9404   -97.8408  -90.0000  top
R19       10K               R_0402_1005Metric                         187.7060  -106.0450    0.0000  top
R20       10K               R_0402_1005Metric                         187.7140  -104.7310    0.0000  top
R21       2.2k              R_0402_1005Metric                         195.8420   -99.7780  180.0000  top
R22       10K               R_0402_1005Metric                         195.8420  -102.3180  180.0000  top
R23       2.2k              R_0402_1005Metric                         195.8420  -101.0480  180.0000  top
U1        USBLC6-2SC6       SOT-23-6                                  181.4830   -98.6630    0.0000  top
U3        TLV75801PDRV      WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm        193.3020  -112.0780    0.0000  top
U4        AOZ1280CI         SOT-23-6                                  207.7800  -111.9700   90.0000  top
U5        TLV75801PDRV      WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm        193.3020  -116.9420    0.0000  top
U6        TCAN1044A-Q1      VSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm      203.4620  -103.8420    0.0000  top
U7        VL53L3CXV0DH/1    LGA12_STM                                 192.0000  -105.0000  -90.0000  top
U8        TCA9509DGKR       DGK8                                      190.2300  -100.9560    0.0000  top
U9        STM32G0B1KBUx     QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm     194.7348   -94.7420  180.0000  top
Y1        Crystal_GND24     Crystal_SMD_3225-4Pin_3.2x2.5mm           204.0000   -94.0000  -90.0000  top
## End
